relative_path,variable,storage_dtype,shape,definition,unit,semantic_status,missing_value_note
data/figure_source_data/02a32220c192_by_seed.csv,CO2_mass_rel_error_mean,CSV text/parsed scalar,60 rows,Mean CO2 inventory relative error,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,wall_time_hours,CSV text/parsed scalar,60 rows,Time or runtime quantity identified by the originating evaluator,h,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,oscillation_std_log10_tail,CSV text/parsed scalar,60 rows,Standard deviation of log10 total loss over the archived tail window,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,max_gpu_max_alloc_gb,CSV text/parsed scalar,60 rows,Maximum recorded GPU memory allocation,GB,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/02a32220c192_by_seed.csv,trainable_params,CSV text/parsed scalar,60 rows,Number of trainable model parameters,count,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/0577272f5dac_snapshot_metadata.json,label,str,scalar or nested JSON,Display label,text,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,JSON null if present
data/figure_source_data/0577272f5dac_snapshot_metadata.json,run_id,str,scalar or nested JSON,Archived run identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,JSON null if present
data/figure_source_data/0577272f5dac_snapshot_metadata.json,exp_name,str,scalar or nested JSON,Experiment identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,JSON null if present
data/figure_source_data/0577272f5dac_snapshot_metadata.json,training_strategy,str,scalar or nested JSON,Training-strategy identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,JSON null if present
data/figure_source_data/0577272f5dac_snapshot_metadata.json,leave_out,str,scalar or nested JSON,Leave-one-out component identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,JSON null if present
data/figure_source_data/0577272f5dac_snapshot_metadata.json,checkpoint,str,scalar or nested JSON,Checkpoint locator captured in the source metadata,path,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,JSON null if present
data/figure_source_data/0577272f5dac_snapshot_metadata.json,times,list,scalar or nested JSON,Nested list of selected snapshot tags and physical times,JSON object,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,JSON null if present
data/figure_source_data/0ee49018e840_final.npz,X,float64,500x500,Cartesian x-coordinate on the 500 x 500 display grid,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_final.npz,Y,float64,500x500,Cartesian y-coordinate on the 500 x 500 display grid,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_final.npz,p_true,float64,500x500,IC-FERST reference pressure,Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_final.npz,p_pred,float64,500x500,PINN-predicted physical pressure,Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_final.npz,p_error,float64,500x500,"Signed pressure error, prediction minus reference",Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_final.npz,S_true,float64,500x500,IC-FERST reference CO2 saturation,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_final.npz,S_pred,float64,500x500,PINN-predicted CO2 saturation,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_final.npz,S_error,float64,500x500,"Signed CO2-saturation error, prediction minus reference",1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_final.npz,time_seconds,float64,scalar,Physical simulation time,s,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_final.npz,time_display,float64,scalar,Physical simulation time in the unit named by time_unit,see time_unit,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_final.npz,time_unit,<U4,scalar,Unit label for time_display,text,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_snapshot_grid.npz,X,float64,500x500,Cartesian x-coordinate on the 500 x 500 display grid,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_snapshot_grid.npz,Y,float64,500x500,Cartesian y-coordinate on the 500 x 500 display grid,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_snapshot_grid.npz,p_true,float64,500x500,IC-FERST reference pressure,Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_snapshot_grid.npz,p_pred,float64,500x500,PINN-predicted physical pressure,Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_snapshot_grid.npz,p_error,float64,500x500,"Signed pressure error, prediction minus reference",Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_snapshot_grid.npz,S_true,float64,500x500,IC-FERST reference CO2 saturation,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_snapshot_grid.npz,S_pred,float64,500x500,PINN-predicted CO2 saturation,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_snapshot_grid.npz,S_error,float64,500x500,"Signed CO2-saturation error, prediction minus reference",1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/0ee49018e840_snapshot_grid.npz,time_seconds,float64,scalar,Physical simulation time,s,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_snapshot_grid.npz,time_display,float64,scalar,Physical simulation time in the unit named by time_unit,see time_unit,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/0ee49018e840_snapshot_grid.npz,time_unit,<U4,scalar,Unit label for time_display,text,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,run_id,CSV text/parsed scalar,288 rows,Archived run identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,exp_name,CSV text/parsed scalar,288 rows,Experiment identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,training_strategy,CSV text/parsed scalar,288 rows,Training-strategy identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,leave_out,CSV text/parsed scalar,288 rows,Leave-one-out component identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,seed,CSV text/parsed scalar,288 rows,Training random seed,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,ray_id,CSV text/parsed scalar,288 rows,Ray identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,ray_angle_deg,CSV text/parsed scalar,288 rows,Ray angle,degree,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,n_time_ray_total,CSV text/parsed scalar,288 rows,Count or iteration index identified by the originating evaluator,count,DERIVED_FROM_FIELD_NAME,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,n_time_ray_valid,CSV text/parsed scalar,288 rows,Count or iteration index identified by the originating evaluator,count,DERIVED_FROM_FIELD_NAME,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,W_front_ratio_1090_mean,CSV text/parsed scalar,288 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,W_front_ratio_1090_std,CSV text/parsed scalar,288 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,W_front_abs_rel_error_1090_mean,CSV text/parsed scalar,288 rows,Mean absolute error of the predicted/reference 10-90% front-width ratio,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,W_front_abs_rel_error_1090_std,CSV text/parsed scalar,288 rows,Sample standard deviation of the absolute 10-90% front-width-ratio error,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_inverse_slope_width_ratio_mean,CSV text/parsed scalar,288 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_inverse_slope_width_ratio_std,CSV text/parsed scalar,288 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_sharpness_ratio_mean,CSV text/parsed scalar,288 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_sharpness_ratio_std,CSV text/parsed scalar,288 rows,Dimensionless or normalized diagnostic; exact normalization is defined in the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_position_signed_error_mid_mean,CSV text/parsed scalar,288 rows,Mean signed mid-jump front-position error,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_position_signed_error_mid_std,CSV text/parsed scalar,288 rows,Sample standard deviation of signed mid-jump front-position error,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_position_abs_error_mid_mean,CSV text/parsed scalar,288 rows,Mean absolute mid-jump front-position error,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_position_abs_error_mid_std,CSV text/parsed scalar,288 rows,Sample standard deviation of absolute mid-jump front-position error,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_position_rel_error_mid_mean,CSV text/parsed scalar,288 rows,Mean mid-jump front-position error normalized by ray span,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_position_rel_error_mid_std,CSV text/parsed scalar,288 rows,Sample standard deviation of the ray-span-normalized mid-jump position error,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_position_abs_error_maxgrad_mean,CSV text/parsed scalar,288 rows,Mean absolute maximum-gradient front-position error,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1b0a223fc3a1_multiray_front_by_ray.csv,front_position_abs_error_maxgrad_std,CSV text/parsed scalar,288 rows,Sample standard deviation of absolute maximum-gradient front-position error,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,X,float64,500x500,Cartesian x-coordinate on the 500 x 500 display grid,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,Y,float64,500x500,Cartesian y-coordinate on the 500 x 500 display grid,m,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,p_true,float64,500x500,IC-FERST reference pressure,Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,p_pred,float64,500x500,PINN-predicted physical pressure,Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,p_error,float64,500x500,"Signed pressure error, prediction minus reference",Pa,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,S_true,float64,500x500,IC-FERST reference CO2 saturation,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,S_pred,float64,500x500,PINN-predicted CO2 saturation,1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,S_error,float64,500x500,"Signed CO2-saturation error, prediction minus reference",1,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,4004 NaN values; in 500 x 500 fields these mask excluded well interiors
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,time_seconds,float64,scalar,Physical simulation time,s,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,time_display,float64,scalar,Physical simulation time in the unit named by time_unit,see time_unit,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/1e26aa04d39a_snapshot_grid.npz,time_unit,<U4,scalar,Unit label for time_display,text,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,None
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,run_id,CSV text/parsed scalar,5792 rows,Archived run identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,exp_name,CSV text/parsed scalar,5792 rows,Experiment identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,training_strategy,CSV text/parsed scalar,5792 rows,Training-strategy identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,leave_out,CSV text/parsed scalar,5792 rows,Leave-one-out component identifier,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,seed,CSV text/parsed scalar,5792 rows,Training random seed,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,ckpt_path,CSV text/parsed scalar,5792 rows,Checkpoint locator captured by the evaluator,path,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,time_index,CSV text/parsed scalar,5792 rows,Archived time-level index,index,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,snapshot_label,CSV text/parsed scalar,5792 rows,Snapshot label,identifier,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,time_s,CSV text/parsed scalar,5792 rows,Physical simulation time,s,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,time_days,CSV text/parsed scalar,5792 rows,Physical simulation time,d,VERIFIED_FROM_MANUSCRIPT_OR_FIELD,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,n_used,CSV text/parsed scalar,5792 rows,Count or iteration index identified by the originating evaluator,count,DERIVED_FROM_FIELD_NAME,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_mse,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_rmse,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_mae,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_rel_l2,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_maxae,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_bias,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_p95ae,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_p99ae,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_nrmse_range,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_nrmse_iqr,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_r2,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_tilde_corr,CSV text/parsed scalar,5792 rows,Nondimensional-pressure diagnostic identified by the originating evaluator,1,DERIVED_REQUIRES_EVALUATOR_REFERENCE,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_mse,CSV text/parsed scalar,5792 rows,Physical-pressure mean squared error,Pa2,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_rmse,CSV text/parsed scalar,5792 rows,Physical-pressure error diagnostic identified by its suffix,Pa,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_mae,CSV text/parsed scalar,5792 rows,Physical-pressure error diagnostic identified by its suffix,Pa,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_rel_l2,CSV text/parsed scalar,5792 rows,Normalized physical-pressure diagnostic identified by its suffix,1,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_maxae,CSV text/parsed scalar,5792 rows,Physical-pressure error diagnostic identified by its suffix,Pa,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_bias,CSV text/parsed scalar,5792 rows,Physical-pressure error diagnostic identified by its suffix,Pa,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_p95ae,CSV text/parsed scalar,5792 rows,Physical-pressure error diagnostic identified by its suffix,Pa,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_p99ae,CSV text/parsed scalar,5792 rows,Physical-pressure error diagnostic identified by its suffix,Pa,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_nrmse_range,CSV text/parsed scalar,5792 rows,Normalized physical-pressure diagnostic identified by its suffix,1,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_nrmse_iqr,CSV text/parsed scalar,5792 rows,Normalized physical-pressure diagnostic identified by its suffix,1,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
data/figure_source_data/2ac99a986403_by_time_global_accuracy.csv,p_phys_Pa_r2,CSV text/parsed scalar,5792 rows,Normalized physical-pressure diagnostic identified by its suffix,1,UNIT_VERIFIED_DEFINITION_DERIVED,Blank/NaN values retain evaluator meaning; consult generating code
